FISERV_ACCOUNT_ID,CREDIT_ABUSER_FLAG
C3K5BNX87H6Z9039,0
C3K6019KGFJ76470,0
C3PVVW6JJN7D6728,0
C3K84Z9D0D4S5960,0
C3KVGPFDG63C4038,0
C3PRLJF8HXJ22823,0
C3K7WR34Q85T7926,0
C3K38JZ81W7G8903,0
C3K5DHQM4W730953,0
C3L4RFGVQNZL8581,0
C3KGC9P1V09D4960,0
C3PV2KLW3SP89088,0
C3KT3P1QN2D74197,0
C3KB8XTD74CD5130,0
C3JT0L9TVFHK3864,0
C3K595CCZFJP7702,0
C3KDHV3N50BS6762,0
C3JNZMQ8580R6282,0
C3F4Q8HX310W8149,0
C3KHFJCWNW2G1022,0
C3JVDQBT918B4109,0
C3KDXB1B2Z4Z3709,0
C3KGRSV52C9Q2609,0
C3L1ZT4QFC4M0454,0
C3PT6PP5RBF91748,0
C3KLLDWZ27HJ1993,0
C3KKNQ9NK2KW7596,0
C3L8TPG9LLJN6221,0
C3KVRZJVCM0L0902,0
C3L0NL6Q31QC4517,0
C3K56QNJMR1N5409,0
C3K51JMNZ2HM1325,0
C3L6R05GMDKW1383,0
C3K4GW5D7FSR8918,0
C3L7DXN3GVQS3347,0
C3K9R5DKL6QW5545,0
C3KSCMNKTB4V6897,0
C3KNXLRRB2619437,0
C3JTHDH244WG6768,0
C3KV32SK0W6N6968,0
C3KKKR2JMTFN5962,0
C3KHLTWW7DK84356,0
C3K5PT1Q21W80499,0
C3KQCVK26BZN8329,0
C3K58NX7MBQ07090,0
C3JQ5MX5VT3X3437,0
C3KW4NKFT6126743,0
C3KBNTRVJCPC9926,0
C3L5SLN05BW50718,0
C3L2XTVHFF7Q7952,0
C3KM7J8WN3DQ4001,0
C3KJBSTX8WCF6244,0
C3KD8J80G6HZ4049,0
C3KCRTPPGSQD7456,0
C3KMDKWPDCST8077,0
C3JXXN54P3WQ0336,0
C3DZQH2JHQZZ2518,0
C3K58G7V2MNS6845,0
C3KFV32RVDR58202,0
C3KT5HLS7GN55434,0
C3KS7ZMP7KR25220,0
C3KCRHKW84G07191,0
C3KG53LJ0G4L2220,0
C3KLF6HZ05RB8833,0
C3F0X8FDMNW63985,0
C3PRLRB5NX8Q3169,0
C3L6HMXG509L5652,0
C3L277FVLWSX8606,0
C3PVHC9FX6JN7131,0
C3KMC6NGSZ3D6543,0
C3DZB4W2CW3H8151,0
C3KWNQCJJHDC8185,0
C3F34X2K06180013,0
C3K940QS8K482477,0
C3JZCBXVGKZJ3983,0
C3PT63C657P11318,0
C3KN0MMRG7Z20312,0
C3F4PXSCLX8R6788,0
C3K1TBV1B3MM0299,0
C3JPQC4P2PG90128,0
C3F0T9NPN61V3076,0
C3L2B0QQVBBG2335,0
C3L6D73GSWJD3562,0
C3KQKTBMPL6L1588,0
C3K8PBNH8KKZ0134,0
C3K7R8TQXJFN4048,0
C3F2GVBR6V621913,0
C3KJQ1PDF4C84300,0
C3K904CJ1WC29234,0
C3KZRJ8WNGJ34964,0
C3K8TS90S77V4623,0
C3DLXHZ718CC1404,0
C3K6FZ43PZ0R1545,0
C3K8JPQFVBJ56488,0
C3KG8FMJRVWP3616,0
C3K828K7NRGG3809,0
C3DZDXJC0THS0546,0
C3PSJ9VW9QR49019,0
C3KD19FC0RZG0997,0
C3PT7TM3NF8Z2357,0
C3L23LXQ5C4K3193,0
C3K4VCJ20R858313,0
C3KLGXMZB1X70177,0
C3L09LW3T6S26836,0
C3L48DCX2BVT1678,0
C3PSBN5R88WV2854,0
C3L5SZT5LM6V1344,0
C3K65LL416XX1660,0
C3L5QW905B659934,0
C3KM3KP7CLS90850,0
C3K97LHPFSV95587,0
C3L2428Q9SGZ3995,0
C3KDFD37K56S5814,0
C3L2DFL0R0JR4075,0
C3K5LZDMPXPZ7610,0
C3JWSF1KKW8J2888,0
C3F49ZRDCP342647,0
C3KZD1T7KTTJ8495,0
C3KF59595R9T7148,0
C3L3RF7ZR3G28329,0
C3JWSK4SXLX23019,0
C3K3H8GDRFLJ0949,0
C3K7D3038LTK3563,0
C3K7N0Q75JPF1622,0
C3K916B3MQ6K0216,0
C3L3W4V78NDC1315,0
C3KSHL667JZK9487,0
C3K816MSGW8H1167,0
C3KR28C6W6302908,0
C3KMHRB95XL60180,0
C3KSD9VB13F47390,0
C3KPLRSW6RKJ2521,0
C3L08W5DQ89F4534,0
C3K1DGTJ58HC1231,0
C3PT36ZV6GF40146,0
C3F2QQWB5X177225,0
C3L3V1ZTK2PD9830,0
C3KBK65PSZ798712,0
C3JPL1QM8XS48437,0
C3L6CPH8ZSHZ3216,0
C3K9LL2SB5KQ2310,0
C3KVB22527TQ0143,0
C3L0VDR01V9V7049,0
C3K8F26PZ05B3394,0
C3JWR6JT5L410957,0
C3PSP61LMPGQ1343,0
C3K6MQSHVFRK0991,0
C3JR55S8X51H9517,0
C3L0XQLLQD8M7957,0
C3PTFT4TWHWB5228,0
C3KFFN03VDK50498,0
C3L8M70HC8CJ3004,0
C3KRZ0GGDN697872,1
C3L5QN2363G09702,0
C3L0XQCVCV8Z7940,0
C3L5T4GSQ7BT4606,0
C3L1V8H3GVKS8292,0
C3JWJ3RHCNWW9140,0
C3K1VP3P910J1305,0
C3JWR641XVZB0916,0
C3F34BR3CZ269957,0
C3L32HPTZ8GH2234,0
C3KJCJJVVFT86780,0
C3K6TXDGZRZ55917,0
C3KQJBSGRDRX0614,0
C3PSM2W8TKWL8836,0
C3L23ZQD92T73623,0
